strategie;session;nbtirage;gain;pot;max
S2C6NStaticMart;44;21;0;359;359
SMourad1;44;150;0;542;998
S2CStatic;45;150;0;182;203
S2CNotLast;45;150;0;203;208
S2C6NStatic;45;150;0;128;207
S2C6NStaticMart;45;150;0;5;220
SMourad1;45;150;0;455;623
S2CStatic;46;150;0;167;204
S2CNotLast;46;150;0;188;203
S2C6NStatic;46;150;0;35;222
S2C6NStaticMart;46;73;0;1;311
SMourad1;46;31;0;2;206
S2CStatic;47;150;0;197;205
S2CNotLast;47;150;0;179;202
S2C6NStatic;47;150;0;113;215
S2C6NStaticMart;47;54;0;1;252
SMourad1;47;139;0;2;392
S2CStatic;48;150;0;170;206
S2CNotLast;48;150;0;200;208
S2C6NStatic;48;150;0;104;206
S2C6NStaticMart;48;88;0;1;220
SMourad1;48;34;0;2;200
S2CStatic;49;150;0;188;200
S2CNotLast;49;150;0;197;203
S2C6NStatic;49;150;0;122;212
S2C6NStaticMart;49;82;0;1;201
SMourad1;49;144;0;2;383
S2CStatic;50;150;0;203;207
S2CNotLast;50;150;0;200;215
S2C6NStatic;50;150;0;143;216
S2C6NStaticMart;50;126;0;0;308
SMourad1;50;34;0;2;200
S2CStatic;51;150;0;176;201
S2CNotLast;51;150;0;194;222
S2C6NStatic;51;150;0;44;202
S2C6NStaticMart;51;77;0;1;204
SMourad1;51;150;0;365;635
S2CStatic;52;150;0;239;239
S2CNotLast;52;150;0;188;200
S2C6NStatic;52;150;0;233;242
S2C6NStaticMart;52;66;0;352;352
SMourad1;52;150;0;1466;1913
S2CStatic;53;150;0;170;201
S2CNotLast;53;150;0;146;200
S2C6NStatic;53;73;0;11;219
S2C6NStaticMart;53;54;0;0;233
SMourad1;53;76;0;2;410
S2CStatic;54;150;0;191;211
S2CNotLast;54;150;0;194;200
S2C6NStatic;54;150;0;119;237
S2C6NStaticMart;54;43;0;358;358
SMourad1;54;39;0;2;200
S2CStatic;55;150;0;188;206
S2CNotLast;55;150;0;173;201
S2C6NStatic;55;150;0;158;203
S2C6NStaticMart;55;150;0;3;287
SMourad1;55;86;0;2;296
S2CStatic;56;150;0;185;206
S2CNotLast;56;150;0;179;200
S2C6NStatic;56;76;0;8;221
S2C6NStaticMart;56;130;0;1;309
SMourad1;56;34;0;2;227
S2CStatic;57;150;0;164;208
S2CNotLast;57;150;0;176;202
S2C6NStatic;57;150;0;164;219
S2C6NStaticMart;57;68;0;1;284
SMourad1;57;116;0;2;458
S2CStatic;58;150;0;206;216
S2CNotLast;58;150;0;191;204
S2C6NStatic;58;150;0;212;278
S2C6NStaticMart;58;150;0;39;253
SMourad1;58;86;0;2;509
S2CStatic;59;150;0;170;206
S2CNotLast;59;150;0;215;223
S2C6NStatic;59;138;0;9;207
S2C6NStaticMart;59;64;0;1;222
SMourad1;59;34;0;2;200
S2CStatic;60;150;0;194;201
S2CNotLast;60;150;0;173;206
S2C6NStatic;60;150;0;170;202
S2C6NStaticMart;60;78;0;1;204
SMourad1;60;150;0;896;1289
S2CStatic;61;150;0;185;208
S2CNotLast;61;150;0;182;204
S2C6NStatic;61;150;0;71;220
S2C6NStaticMart;61;116;0;0;224
SMourad1;61;23;0;2;230
S2CStatic;62;150;0;212;220
S2CNotLast;62;150;0;176;207
S2C6NStatic;62;150;0;206;254
S2C6NStaticMart;62;83;0;361;361
SMourad1;62;32;0;2;221
S2CStatic;63;150;0;188;203
S2CNotLast;63;150;0;215;215
S2C6NStatic;63;150;0;176;227
S2C6NStaticMart;63;77;0;1;279
SMourad1;63;34;0;2;218
S2CStatic;64;150;0;203;212
S2CNotLast;64;150;0;209;216
S2C6NStatic;64;150;0;89;212
S2C6NStaticMart;64;53;0;0;220
SMourad1;64;34;0;2;200
S2CStatic;65;150;0;215;223
S2CNotLast;65;150;0;188;209
S2C6NStatic;65;150;0;257;286
S2C6NStaticMart;65;84;0;362;362
SMourad1;65;141;0;2;602
S2CStatic;66;150;0;188;205
S2CNotLast;66;150;0;176;203
S2C6NStatic;66;150;0;122;233
S2C6NStaticMart;66;17;0;362;362
SMourad1;66;122;0;2;509
S2CStatic;67;150;0;197;207
S2CNotLast;67;150;0;212;215
S2C6NStatic;67;150;0;239;263
S2C6NStaticMart;67;150;0;133;342
SMourad1;67;28;0;2;218
S2CStatic;68;150;0;176;203
S2CNotLast;68;150;0;173;211
S2C6NStatic;68;150;0;206;248
S2C6NStaticMart;68;150;0;114;328
SMourad1;68;108;0;2;413
S2CStatic;69;150;0;176;208
S2CNotLast;69;150;0;200;208
S2C6NStatic;69;150;0;152;202
S2C6NStaticMart;69;65;0;1;204
SMourad1;69;150;0;170;491
S2CStatic;70;150;0;203;215
S2CNotLast;70;150;0;179;205
S2C6NStatic;70;150;0;215;215
S2C6NStaticMart;70;131;0;1;258
SMourad1;70;34;0;2;200
S2CStatic;71;150;0;212;216
S2CNotLast;71;150;0;161;201
S2C6NStatic;71;150;0;80;219
S2C6NStaticMart;71;98;0;1;331
SMourad1;71;150;0;542;905
S2CStatic;72;150;0;203;210
S2CNotLast;72;150;0;206;209
S2C6NStatic;72;150;0;143;253
S2C6NStaticMart;72;53;0;350;350
SMourad1;72;150;0;182;863
S2CStatic;73;150;0;209;214
S2CNotLast;73;150;0;212;213
S2C6NStatic;73;150;0;155;209
S2C6NStaticMart;73;150;0;5;204
SMourad1;73;46;0;2;239
S2CStatic;74;150;0;200;210
S2CNotLast;74;150;0;203;207
S2C6NStatic;74;150;0;200;226
S2C6NStaticMart;74;150;0;11;252
SMourad1;74;34;0;2;200
S2CStatic;75;150;0;191;201
S2CNotLast;75;150;0;209;213
S2C6NStatic;75;150;0;155;215
S2C6NStaticMart;75;50;0;1;229
SMourad1;75;34;0;2;200
S2CStatic;76;150;0;200;219
S2CNotLast;76;150;0;200;209
S2C6NStatic;76;150;0;146;272
S2C6NStaticMart;76;14;0;352;352
SMourad1;76;30;0;2;233
S2CStatic;77;150;0;182;202
S2CNotLast;77;150;0;200;214
S2C6NStatic;77;150;0;92;204
S2C6NStaticMart;77;82;0;1;212
SMourad1;77;51;0;2;200
S2CStatic;78;150;0;191;205
S2CNotLast;78;150;0;185;204
S2C6NStatic;78;150;0;209;240
S2C6NStaticMart;78;150;0;104;299
SMourad1;78;69;0;2;272
S2CStatic;79;150;0;188;204
S2CNotLast;79;150;0;206;222
S2C6NStatic;79;83;0;7;208
S2C6NStaticMart;79;50;0;1;232
SMourad1;79;30;0;2;218
S2CStatic;80;150;0;224;224
S2CNotLast;80;150;0;182;201
S2C6NStatic;80;150;0;140;257
S2C6NStaticMart;80;16;0;354;354
SMourad1;80;71;0;2;200
S2CStatic;81;150;0;167;201
S2CNotLast;81;150;0;191;203
S2C6NStatic;81;150;0;179;232
S2C6NStaticMart;81;141;0;1;233
SMourad1;81;31;0;2;227
S2CStatic;82;150;0;173;213
S2CNotLast;82;150;0;182;211
S2C6NStatic;82;150;0;173;283
S2C6NStaticMart;82;30;0;357;357
SMourad1;82;150;0;509;527
S2CStatic;83;150;0;194;214
S2CNotLast;83;150;0;152;200
S2C6NStatic;83;150;0;98;242
S2C6NStaticMart;83;24;0;355;355
SMourad1;83;72;0;2;389
S2CStatic;84;150;0;188;203
S2CNotLast;84;150;0;188;202
S2C6NStatic;84;150;0;104;202
S2C6NStaticMart;84;111;0;1;204
SMourad1;84;26;0;2;215
S2CStatic;85;150;0;200;216
S2CNotLast;85;150;0;215;229
S2C6NStatic;85;150;0;254;288
S2C6NStaticMart;85;37;0;350;350
SMourad1;85;37;0;2;200
S2CStatic;86;150;0;200;222
S2CNotLast;86;150;0;188;201
S2C6NStatic;86;150;0;164;220
S2C6NStaticMart;86;150;0;13;242
SMourad1;86;29;0;2;227
S2CStatic;87;150;0;185;213
S2CNotLast;87;150;0;185;211
S2C6NStatic;87;150;0;197;241
S2C6NStaticMart;87;41;0;350;350
SMourad1;87;35;0;2;200
S2CStatic;88;150;0;173;203
S2CNotLast;88;150;0;200;223
S2C6NStatic;88;150;0;119;240
S2C6NStaticMart;88;120;0;0;220
SMourad1;88;100;0;2;245
S2CStatic;89;150;0;212;228
S2CNotLast;89;150;0;155;204
S2C6NStatic;89;150;0;116;225
S2C6NStaticMart;89;20;0;364;364
SMourad1;89;150;0;1100;1460
S2CStatic;90;150;0;212;218
S2CNotLast;90;150;0;191;204
S2C6NStatic;90;150;0;242;271
S2C6NStaticMart;90;116;0;364;364
SMourad1;90;88;0;2;455
S2CStatic;91;150;0;185;207
S2CNotLast;91;150;0;206;210
S2C6NStatic;91;150;0;143;226
S2C6NStaticMart;91;150;0;7;241
SMourad1;91;41;0;2;200
S2CStatic;92;150;0;188;204
S2CNotLast;92;150;0;200;205
S2C6NStatic;92;141;0;9;206
S2C6NStaticMart;92;58;0;0;220
SMourad1;92;59;0;2;341
S2CStatic;93;150;0;176;200
S2CNotLast;93;150;0;164;203
S2C6NStatic;93;150;0;116;207
S2C6NStaticMart;93;31;0;1;209
SMourad1;93;34;0;2;212
S2CStatic;94;150;0;185;218
S2CNotLast;94;150;0;188;200
S2C6NStatic;94;150;0;71;227
S2C6NStaticMart;94;30;0;355;355
SMourad1;94;51;0;2;356
S2CStatic;95;150;0;164;201
S2CNotLast;95;150;0;194;209
S2C6NStatic;95;150;0;164;218
S2C6NStaticMart;95;68;0;1;222
SMourad1;95;85;0;2;371
S2CStatic;96;150;0;176;201
S2CNotLast;96;150;0;194;212
S2C6NStatic;96;150;0;116;202
S2C6NStaticMart;96;58;0;0;204
SMourad1;96;98;0;2;395
S2CStatic;97;150;0;200;216
S2CNotLast;97;150;0;185;209
S2C6NStatic;97;150;0;200;236
S2C6NStaticMart;97;40;0;350;350
SMourad1;97;121;0;2;401
S2CStatic;98;150;0;191;205
S2CNotLast;98;150;0;185;202
S2C6NStatic;98;150;0;83;211
S2C6NStaticMart;98;94;0;365;365
SMourad1;98;69;0;2;290
S2CStatic;99;150;0;182;200
S2CNotLast;99;150;0;170;200
S2C6NStatic;99;150;0;164;207
S2C6NStaticMart;99;45;0;357;357
SMourad1;99;34;0;2;230
